National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2011-1139638,HMSC11-12-26-Er,11NWR12021,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Hatfield Marine Science Center, OSU","Hatfield Marine Science Center, OSU",NW,Bandon,Coos,OR,Pacific Ocean,Just south of Face Rock Wayside,43.1041,dd.dddd,,_124.43503,,GPS,N,CBD,2011-DEC-25,2011,DEC,25,Beach or Land,,Moderate Decomposition,N,2011-DEC-27,2011,DEC,27,Moderate Decomposition,N,FEMALE,SUBADULT,1212,cm,actual,0,lb,estimate,N,,,,,,,,,
NW-2017-1196303,HMSC17-03-02-Dd,17NWR03039,"Dolphin, common, short-beaked",Delphinus,delphis,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,just north of Face Rock Wayside,43.10633,dd.dddd,,_124.43510,,GPS,N,CBD,2017-MAR-01,2017,MAR,1,Beach or Land,,Fresh Dead,N,2017-MAR-02,2017,MAR,2,Fresh Dead,N,MALE,SUBADULT,158,cm,actual,0,lb,estimate,NA,,,,,,,,,
NW-2014-1159785,HMSC14-08-28-Pp,14NWR08083,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,just south of Johnson Creek,43.08962,dd.dddd,,_124.43564,,GPS,N,Y,2014-AUG-28,2014,AUG,28,Beach or Land,,Fresh Dead,N,2014-AUG-28,2014,AUG,28,Fresh Dead,N,MALE,SUBADULT,115,cm,estimate,0,lb,estimate,Y,complete,fresh,2014-AUG-28,2014,AUG,28,Diane and Dave Bilderback,,
NW-2011-1137660,HMSC11-11-11-Dd,11NWR11009,"Dolphin, common, short-beaked",Delphinus,delphis,Validated,Jim Rice,"Hatfield Marine Science Center, OSU","Hatfield Marine Science Center, OSU",NW,Bandon,Coos,OR,Pacific Ocean,about 200 yds north of China Creek mouth,43.076059,dd.dddd,,_124.436057,,Internet,N,CBD,2011-NOV-11,2011,NOV,11,Beach or Land,,Moderate Decomposition,N,2011-NOV-12,2011,NOV,12,Moderate Decomposition,N,MALE,SUBADULT,60,in,estimate,0,lb,estimate,N,,,,,,,,photographed by volunteers,
NW-2016-1188635,HMSC16-05-13-Er,16NWR05021,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,"south of Devil's Kitchen, north of China Creek",43.076743,dd.dddd,,_124.436690,,GPS,N,CBD,2016-MAY-13,2016,MAY,13,Beach or Land,,Moderate Decomposition,N,2016-MAY-13,2016,MAY,13,Moderate Decomposition,N,MALE,PUP/CALF,740,cm,actual,0,lb,estimate,Y,limited,fresh,2016-MAY-13,2016,MAY,13,"Jim Rice, Craig Hayslip, Diane Bilderback",,
NW-2012-1145970,HMSC12-07-20-Pp,12NWR07051,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,on the New River spit south of Bandon,43.03885,dd.dddd,,_124.445183,,GPS,N,CBD,2012-JUL-20,2012,JUL,20,Beach or Land,,Fresh Dead,N,2012-JUL-20,2012,JUL,20,Fresh Dead,N,UNKNOWN,PUP/CALF,36,in,estimate,0,lb,estimate,N,,,,,,,,porpoise calf found by USDA-APHIS-Wildlife Services biologist in snowy plover habitat area; was photographed and buried,
NW-2016-1188552,HMSC16-06-02-Uc,16NWR06014,UNIDENTIFIED DELPHINID,,,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,approximately 1 mile south of the mouth of New River,43.031989,dd.dddd,,_124.447778,,GPS,N,CBD,2016-JUN-02,2016,JUN,2,Beach or Land,,Advanced Decomposition,N,2016-JUN-02,2016,JUN,2,Advanced Decomposition,N,MALE,SUBADULT,0,cm,estimate,0,lb,estimate,N,,,,,,,,photographed by APHIS Wildlife Services; head has the shape of Pacific white-sided dolphin,
NW-2016-1191774,HMSC16-09-25-Pp,16NWR09047,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,New River Bandon Beach area,43.03154,dd.dddd,,_124.44791,,GPS,N,CBD,2016-SEP-25,2016,SEP,25,Beach or Land,,Moderate Decomposition,N,2016-SEP-25,2016,SEP,25,Moderate Decomposition,N,UNKNOWN,PUP/CALF,36,in,estimate,0,lb,estimate,N,,,,,,,,photographed by Beach Ranger,
NW-2015-1181472,MKH2015-04,15NWR05086,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Monette,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Strait of Juan de Fuca,Shipwreck point,48.3171,decimal degrees,estimate,_124.45,estimate,,N,CBD,2015-MAY-24,2015,MAY,24,Beach or Land,,Moderate Decomposition,N,2015-MAY-25,2015,MAY,25,Advanced Decomposition,N,UNKNOWN,ADULT,167,cm,actual,,,,N,,,,,,,,,
NW-2015-1174629,HMSC15-07-10-Pp-2,15NWR07047,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,between Rocky Point and Coal Point,42.71302,dd.dddd,,_124.461947,,Internet,N,CBD,2015-JUL-10,2015,JUL,10,Beach or Land,,Advanced Decomposition,N,2015-JUL-10,2015,JUL,10,Advanced Decomposition,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2013-1149272,HMSC13-07-07-Zcv,13NWR07025,"Whale, Cuvier's beaked",Ziphius,cavirostris,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,south of New River,42.978117,dd.dddd,,_124.468750,,GPS,N,CBD,2013-JUL-04,2013,JUL,4,Beach or Land,,Condition Unknown,N,2013-JUL-07,2013,JUL,7,Advanced Decomposition,N,UNKNOWN,ADULT,252,in,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1157298,HMSC14-04-03-Er,14NWR04008,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,"north of Floras Lake, adjacent to New River",42.97609,dd.dddd,,_124.469405,,GPS,N,Y,2014-APR-03,2014,APR,3,Beach or Land,,Moderate Decomposition,N,2014-APR-04,2014,APR,4,Moderate Decomposition,N,FEMALE,SUBADULT,982,cm,actual,0,lb,estimate,Y,limited,fresh,2014-APR-04,2014,APR,4,Jim Rice,"carcass in snowy plover nesting site on very isolated beach, 5 miles from nearest vehicle access point; only accessible by foot or ATV",
NW-2015-1179419,HMSC15-11-10-Sc,15NWR11007,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,between Hubbard Creek and Rocky Point,42.73018,dd.dddd,,_124.47112,,GPS,N,CBD,2015-NOV-10,2015,NOV,10,Beach or Land,,Fresh Dead,N,2015-NOV-15,2015,NOV,15,Moderate Decomposition,N,MALE,SUBADULT,219,cm,actual,0,lb,estimate,Y,limited,fresh,2015-NOV-15,2015,NOV,15,Nancy Treneman,,
NW-2014-1158460,HMSC14-06-27-Pd,14NWR06034,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,near mouth of Hubbard Creek,42.735792,dd.dddd,,_124.47877,,Internet,N,CBD,2014-JUN-27,2014,JUN,27,Beach or Land,,Fresh Dead,N,2014-JUN-27,2014,JUN,27,Fresh Dead,N,UNKNOWN,PUP/CALF,36,in,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1169766,HMSC14-10-29-Er,14NWR10042,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,Battle Rock beach,42.74147,dd.dddd,,_124.48936,,GPS,N,CBD,2014-OCT-29,2014,OCT,29,Beach or Land,,Moderate Decomposition,N,2014-OCT-30,2014,OCT,30,Moderate Decomposition,N,UNKNOWN,YEARLING,840,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1158447,HMSC14-06-05-Pp,14NWR06021,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,Battle Rock beach,42.74167,dd.dddd,,_124.4905,,GPS,N,CBD,2014-JUN-05,2014,JUN,5,Beach or Land,,Fresh Dead,N,2014-JUN-07,2014,JUN,7,Moderate Decomposition,N,MALE,SUBADULT,141,cm,actual,0,lb,estimate,N,,,,,,,,photographed and measured by volunteers,
NW-2012-1151268,CRC-1208,12NWR06116,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,Jefferson,WA,Pacific Ocean,"Goodman Creek, Olympic Coast National Park",47.8198,dd.dddd,actual,_124.4918,actual,GPS,N,Y,2012-JUN-10,2012,JUN,10,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,FEMALE,ADULT,167,cm,actual,,,,N,,,,,,,,"Spoke to park rangers,location was too remote to get to without guidance and unsure if the animals still there. They were willing to go out and remove the nets, would let us know if any identifiers on gear.",
NW-2012-1151270,CRC-1210,12NWR06118,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,Jefferson,WA,Pacific Ocean,"Goodman Creek, Olympic Coast National Park",47.8198,dd.dddd,actual,_124.4918,actual,GPS,N,Y,2012-JUN-10,2012,JUN,10,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,UNKNOWN,ADULT,176,cm,actual,,,,N,,,,,,,,"Spoke to park rangers, location was too remote to get to without guidance and unsure if the animals still there. They were willing to go out and remove the nets, would let us know if any identifiers on gear.",
NW-2012-1151269,CRC-1209,12NWR06117,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,Jefferson,WA,Pacific Ocean,"Goodman Creek, Olympic Coast National Park",47.8198,dd.dddd,actual,_124.4918,actual,GPS,N,Y,2012-JUN-10,2012,JUN,10,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,UNKNOWN,YEARLING,104,cm,actual,,,,N,,,,,,,,"Spoke to park rangers, location was too remote to get to without guidance and unsure if the animals still there. They were willing to go out and remove the nets, would let us know if any identifiers on gear.",
NW-2011-1135901,HMSC11-08-03-Pp,11NWR08028,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Hatfield Marine Science Center, OSU","Hatfield Marine Science Center, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,"next to main dock, ""dog beach"", towards the east end of the Port Beach",42.74123,dd.dddd,,_124.49673,,GPS,N,CBD,2011-AUG-03,2011,AUG,3,Beach or Land,,Condition Unknown,N,2011-AUG-03,2011,AUG,3,Condition Unknown,N,FEMALE,YEARLING,115,cm,actual,0,lb,estimate,N,,,,,,,,,
NW-2016-1192681,HMSC16-10-28-Sc,16NWR10029,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,"dock beach or ""dog beach""",42.74116,dd.dddd,,_124.49789,,GPS,N,CBD,2016-OCT-28,2016,OCT,28,Floating,,Moderate Decomposition,N,2016-OCT-29,2016,OCT,29,Moderate Decomposition,N,FEMALE,ADULT,222,cm,actual,0,lb,estimate,N,,,,,,,,photographed and measured by volunteers,
NW-2016-1191712,HMSC16-08-01-Er,16NWR08043,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Langlois,Curry,OR,Pacific Ocean,New River Spit,42.91824,dd.dddd,,_124.499969,,GPS,N,Y,2016-AUG-01,2016,AUG,1,Beach or Land,,Moderate Decomposition,N,2016-AUG-03,2016,AUG,3,Advanced Decomposition,N,UNKNOWN,PUP/CALF,823,cm,actual,0,lb,estimate,N,,,,,,,,,
NW-2013-1149261,HMSC13-06-27-Er,13NWR06023,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Langlois,Curry,OR,Pacific Ocean,south of New River,42.914383,dd.dddd,,_124.501816,,GPS,N,Y,2013-JUN-27,2013,JUN,27,Beach or Land,,Advanced Decomposition,N,2013-JUN-27,2013,JUN,27,Advanced Decomposition,N,MALE,YEARLING,420,in,estimate,0,lb,estimate,N,,,,,,,,entangled to gear at peduncle and right pectoral; crab pot tag # L45429 F/V JO 707-496-8852,
NW-2016-1192708,HMSC16-04-12-Uc,16NWR04072,unidentified cetacean,,,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,off Tichenor Rock,42.730322,dd.dddd,,_124.512524,,Internet,N,CBD,2016-APR-12,2016,APR,12,Floating,,Condition Unknown,Y,,,,,,N,UNKNOWN,UNKNOWN,0,cm,estimate,0,lb,estimate,N,,,,,,,,was reported as a dead adult gray whale dirfting in a northerly directly; no carcass found ashore,
NW-2017-1195305,HMSC17-03-13-Pm,17NWR03023,"Whale, sperm",Physeter,macrocephalus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,about 1/2 mile north of Paradise Point,42.768875,decimal degrees,,_124.51958,,GPS,N,Y,2017-MAR-13,2017,MAR,13,Beach or Land,,Advanced Decomposition,N,2017-MAR-13,2017,MAR,13,Advanced Decomposition,N,UNKNOWN,ADULT,1262,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2016-1191767,HMSC16-09-19-Mn,16NWR09040,"Whale, humpback",Megaptera,novaeangliae,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Langlois,Curry,OR,Pacific Ocean,just north of Blacklock Point,42.880235,dd.dddd,,_124.525937,,Internet,N,CBD,2016-SEP-19,2016,SEP,19,Beach or Land,,Advanced Decomposition,N,2016-SEP-20,2016,SEP,20,Advanced Decomposition,N,UNKNOWN,UNKNOWN,360,in,estimate,0,lb,estimate,N,,,,,,,,photographed by Beach Ranger,
NW-2011-1131027,CRC-1152,11NWR04009,"Porpoise, harbor",Phocoena,phocoena,Validated,,Cascadia Research,Cascadia Research,NW,Forks,Clallam,WA,Pacific Ocean,"Just S of Toleak Point, 3rd Beach",47.8333,dd.dddd,,_124.5325,,Internet/Software,N,CBD,2011-APR-28,2011,APR,28,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,UNKNOWN,ADULT,175,cm,Estimated,0,,,N,,,,,,,,"RP is former Cascadia employee, familiar with local marine mammals. No photos available.",CRC-1152
NW-2013-1151217,CRC-1256,13NWR05039,"Whale, humpback",Megaptera,novaeangliae,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,Clallam,WA,Pacific Ocean,S end 3rd beach,47.8748,dd.dddd,actual,_124.5797,actual,GPS,N,CBD,2013-MAY-26,2013,MAY,26,Beach or Land,,Moderate Decomposition,N,2013-MAY-27,2013,MAY,27,Moderate Decomposition,N,,YEARLING,793,cm,actual,,,,Y,limited,fresh,2013-MAY-27,2013,MAY,27,CRC/WDFW MMI,"Was laying on back on the 26th, had flipped over onto ventral side by the time of response on the 27th.",
NW-2010-1120633,CRC-1040,10NWR05017,"Cetacean, unidentified",,,Validated,,Cascadia Research,Cascadia Research,NW,La Push,Clallam,WA,Pacific Ocean,2nd beach,47.8867,dd.dddd,,_124.6244,,Internet/Software,N,CBD,2010-MAY-25,2010,MAY,25,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,MALE,UNKNOWN,14,ft,Estimated,0,,,N,,,,,,,,"Animal rolling in surf at 1500 on 25 May, Jon's wife found it, took photos vial cell phone. Quileute tribe biologists went to look for it morning of 26 May. Could not find. Will continue to check beaches to see if it shows up again.",CRC-1040
NW-2010-1126551,CRC-1086,10NWR07133,"Whale, Hubbs' beaked",Mesoplodon,carlhubbsi,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,Clallam,WA,Pacific Ocean,"La Push, 2nd beach",47.8882,dd.dddd,,_124.6251,,GPS,N,CBD,2010-JUL-29,2010,JUL,29,Beach or Land,,Advanced Decomposition,N,2010-AUG-02,2010,AUG,2,Advanced Decomposition,N,FEMALE,UNKNOWN,360,cm,Actual,0,,,Y,,,,,,,,Gender and species determined by SWFSC.,CRC-1086
NW-2010-1126527,CRC-1048,10NWR06074,"Porpoise, harbor",Phocoena,phocoena,Validated,,Cascadia Research,Cascadia Research,NW,La Push,Clallam,WA,Pacific Ocean,1st beach,47.9023,dd.dddd,,_124.6313,,Internet/Software,N,CBD,2010-JUN-14,2010,JUN,14,Beach or Land,,Moderate Decomposition,Y,,,,,Moderate Decomposition,N,UNKNOWN,UNKNOWN,,,,0,,,N,,,,,,,,"Originally seen on 5-Jun-10, not reported until 14-Jun-10. Photos received 21-Jun-10. Examined via photos only",CRC-1048
NW-2011-1137455,MKH2011-025,11NWR07087,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Mora,Clallam,WA,Pacific Ocean,100 yards North of Rialto Beach access,47.9193,dd.dddd,,_124.6365,,Internet/Software,N,CBD,2011-JUL-20,2011,JUL,20,Beach or Land,,Moderate Decomposition,Y,,,,,Moderate Decomposition,N,UNKNOWN,SUBADULT,130,cm,Estimated,,,,N,,,,,,,,"Reported on 7/24 as seen by ONP Ranger Adam Conn on 7/20, dead 100 yards North of Rialto Beach access.",
NW-2009-1104485,WDFW2009-092,09NWR08080,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,Forks,Clallam,WA,Pacific,100 yards south of Hole-in-the-Wall,47.9239,dd.dddd,,_124.6401,,Internet/Software,N,CBD,2009-AUG-14,2009,AUG,14,Beach or Land,,Moderate Decomposition,Y,,,,,Moderate Decomposition,N,UNKNOWN,SUBADULT,130,cm,Estimated,35,kg,,N,,,,,,,,"Found on beach ~100 yards south of Hole-in-the-Wall near Rialto Beach, Olympic Coast, WA",WDFW2009-092
NW-2010-1120856,WDFW2010-052,10NWR03017,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,La Push,Clallam,WA,Pacific Ocean,Between Rialto Beach access and Hole-in-the-Wall,47.9283,dd.dddd,,_124.641,,Internet/Software,N,CBD,2010-MAR-23,2010,MAR,23,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,MALE,SUBADULT,120,cm,Estimated,,,,N,,,,,,,,"RP reported and sent pictures of porpoise seen with school group between Rialto Beach access and Hole-in-the-Wall, Olympic Coast. Dead, 3-4 ft, some cut marks around face and body most likely due to rolling in surf. ~One week later reports of dead ""baby o",WDFW2010-052
NW-2015-1182222,WDFW2015-055,15NWR07128,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,La Push,Clallam,WA,Pacific Ocean,Rialto BeachJust south of hole in the wall,47.939,decimal degrees,actual,_124.648,actual,,N,CBD,2015-JUL-24,2015,JUL,24,Beach or Land,,Fresh Dead,N,2015-JUL-24,2015,JUL,24,Fresh Dead,N,MALE,PUP/CALF,102,cm,actual,15.8,kg,actual,Y,complete,fresh,2015-JUL-25,2015,JUL,25,WDFW/MMI,Reported by park visitor to park officer. DML and DL were out on sea otter response. Collected and put on ice until necropsy. Couple Days prior a Adult female stranding ~15 mile further north on the Makah Reservation. Necropsy was conducted on that anim,WDFW2015-055
NW-2014-1170515,CRC-1454,14NWR09069,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,Clallam,WA,Pacific Ocean,"just S of Split Rock, Rialto beach",47.9394,dd.dddd,estimate,_124.6483,estimate,Internet/Software,N,CBD,2014-SEP-10,2014,SEP,10,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,MALE,SUBADULT,125,cm,estimate,,,,N,,,,,,,,"seen on 10-Sep, not reported to stranding network until 16-Sep. No response due to delay in reporting. Examined via photos only.",
NW-2007-1070357,WDFW0407-04,07NWR04050,"Porpoise, harbor",Phocoena,phocoena,Validated,Ray Colby,Makah Fisheries Management,Makah Tribe,NW,Neah Bay,Clallam,WA,Makah Bay,Between Sooes River Mouth/Strawberry Rock,48.3208,decimal degrees,,_124.6568,,Internet/Software,N,N,2007-APR-10,2007,APR,10,Beach or Land,,Fresh Dead,N,2007-APR-10,2007,APR,10,Fresh Dead,N,FEMALE,ADULT,163,cm,Actual,45,kg,Estimated,Y,,,2007-APR-12,2007,APR,12,WDFW/CRC,Ray picked up on 4/10/07 from beach. Transferred to Joe Scordino on 4/11/07. Joe dropped off at Lakewood for necropsy on 4/12/07,WDFW0407-04
NW-2008-1151375,MKH-PP-08-4,08NWR10079,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3055,dd.dddd,estimate,_124.6575,estimate,Internet/Software,N,CBD,2008-OCT-08,2008,OCT,8,Beach or Land,,Fresh Dead,N,2008-OCT-08,2008,OCT,8,Fresh Dead,N,FEMALE,PUP/CALF,95,cm,actual,22,kg,estimate,Y,complete,fresh,2008-OCT-08,2008,OCT,8,MFM,"Dead harbor porpoise on Tsoo-Yess Beach, complete internal exam conducted. Very young animal. Teeth not erupted yet. No obvious signs of cause of death. Blubber was in good shape and good depth suggesting a quick death that did not tax metabolism. Lungs had blood in them with a lot of bubbles (froth) coming from the bronchioles - look similar to spit bug masses. Photos were taken as well as samples for histology that will be sent to Dr. Raverty. Raverty results: lack of milk suggests not nursing. Massive hemorrhage in adrenal gland is similar to finding in adults with protozoal infection from Sarcocystis neurona or Toxoplasma gondii however IHC staining showed no detectable parasites. Another possibility suggested was a septicemia.",
NW-2017-1200556,MKH2017-003,17NWR03046,"Whale, gray",Eschrichtius,robustus,Ready for Regional Validation,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Strait of Juan de Fuca,Warmhouse Beach,48.3908,dd.dddd,estimate,_124.6576,estimate,Internet,N,CBD,2017-MAR-21,2017,MAR,21,Beach or Land,,,N,2017-MAR-21,2017,MAR,21,Moderate Decomposition,N,FEMALE,SUBADULT,870,cm,actual,,,Y,limited,fresh,2023-MAR-17,2023,MAR,17,Makah Fisheries Management,Whale laying on right side which prevented full examination. A few injuries were observed on right side. Flensing of injuries toward tail were likely post mortem. An area near the head showed blood in the blubber. The injury in the area looked most likely,,
NW-2007-1064219,CRC-782,07NWR01009,"Whale, unidentified Kogia (dwarf/pygmy sperm)",Kogia,,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Neah Bay,Clallam,WA,Pacific Ocean,"Shi Shi Beach, N of Pt of Arches",48.317,decimal degrees,,_124.6591,,Internet/Software,N,CBD,2007-JAN-02,2007,JAN,2,Beach or Land,,Fresh Dead,N,2007-JAN-07,2007,JAN,7,,N,,UNKNOWN,290,cm,Estimated,0,,,N,,,,,,,,"Sighted and photographed on 31 Dec 06, reported on 2 Jan 07. Tides and weather uncooporative, response delayed until 7 Jan 07. By the time we were able to get out to Shi Shi beach, Petroleum Creek was impassable due to recent heavy rains. Unsure if carcas",CRC-782
NW-2012-1151377,MKH2012-013,12NWR05129,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3221,dd.dddd,estimate,_124.663,estimate,Internet/Software,N,CBD,2012-MAY-22,2012,MAY,22,Beach or Land,,Fresh Dead,N,2012-MAY-22,2012,MAY,22,Fresh Dead,N,MALE,ADULT,151,cm,actual,,,,N,,,,,,,,"Dead harbor porpoise reported by Frankie Gonzales on Tsoo-Yess Beach between Mad Bear Rock and the river, being scavenged by eagles. AA and JS responded, took photos and length. 3 eagles were on carcass on arrival. Almost all tissues were scavenged clean from the bones except for some intestines, bladder, the stomach, and small portions of the spleen and lungs. Tissues appeared fresh - maybe 2.5 at most. Stomach felt empty except for ulcers. No tissues collected, carcass left at site.",
NW-2013-1151370,MKH2013-012,13NWR07061,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess beach in front of Tribal Parking area,48.3076,dd.dddd,estimate,_124.6634,estimate,Internet/Software,N,CBD,2013-JUL-11,2013,JUL,11,Beach or Land,,Fresh Dead,N,2013-JUL-11,2013,JUL,11,Fresh Dead,N,FEMALE,PUP/CALF,103,cm,actual,,,,N,,,,,,,,"Fresh dead harbor porpoise reported with photos to Pat Gearin NMML on Tsoo-Yess beach. AA responded to find 3 eagles scavenging. All internal organs scavenged, skull intact but severed at spine, tissue on head scavenged, eyes scavenged.",
NW-2010-1139854,MKH-PP-10-1,10NWR03045,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,MFM,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck beach,48.3365,dd.dddd,,_124.6635,,GPS,N,N,2010-MAR-30,2010,MAR,30,Beach or Land,,Fresh Dead,N,2010-MAR-30,2010,MAR,30,Fresh Dead,N,FEMALE,ADULT,155,cm,Actual,,,,Y,Complete,Fresh,2010-MAR-30,2010,MAR,30,MFM,Animal was heavily scavenged. Could not assess body condition. No gross signs of cause of death.,
